Record_ID,Year,Month,Quarter,Model,Variant,Category,List_Price,Promo_Discount_Percent,Promo_Price,Available_Stock,Avg_Daily_Sales,Days_of_Supply,Stock_Status,Import_Cost,Profit_Margin
1,2022,1,Q1,Camry,LE,Sedan,102084,5,96979,36,1,36,Balanced,56146,45937
2,2022,1,Q1,Camry,SE,Sedan,110251,7,102533,70,2,35,Balanced,60638,49612
3,2022,1,Q1,Camry,XLE,Sedan,118418,0,118418,30,1,30,Balanced,65129,53288
4,2022,1,Q1,Camry,Hybrid LE,Sedan,126585,5,120255,22,1,22,Balanced,69621,56963
5,2022,1,Q1,Camry,Hybrid XLE,Sedan,134752,0,134752,49,1,49,Full,74113,60638
6,2022,1,Q1,Corolla,XLI,Sedan,78065,0,78065,84,4,21,Balanced,42935,35129
7,2022,1,Q1,Corolla,GLI,Sedan,84310,3,81780,67,2,33,Balanced,46370,37939
8,2022,1,Q1,Corolla,SE,Sedan,90555,10,81499,28,1,28,Balanced,49805,40749
9,2022,1,Q1,Corolla,Hybrid,Sedan,96800,3,93896,58,3,19,Balanced,53240,43560
10,2022,1,Q1,Land Cruiser,GX,SUV,230191,5,218681,38,1,38,Balanced,126605,103585
11,2022,1,Q1,Land Cruiser,VX,SUV,248606,0,248606,56,2,28,Balanced,136733,111872
12,2022,1,Q1,Land Cruiser,VXR,SUV,267022,5,253670,73,3,24,Balanced,146862,120159
13,2022,1,Q1,Land Cruiser,GR Sport,SUV,285437,3,276873,68,2,34,Balanced,156990,128446
14,2022,1,Q1,RAV4,LE,SUV,105087,0,105087,36,1,36,Balanced,57797,47289
15,2022,1,Q1,RAV4,XLE,SUV,113494,0,113494,63,2,31,Balanced,62421,51072
16,2022,1,Q1,RAV4,Adventure,SUV,121901,3,118243,68,3,22,Balanced,67045,54855
17,2022,1,Q1,RAV4,Hybrid,SUV,130308,7,121186,58,2,29,Balanced,71669,58638
18,2022,1,Q1,Hilux,GL,Pickup,85070,0,85070,29,1,29,Balanced,46788,38281
19,2022,1,Q1,Hilux,SR5,Pickup,91876,0,91876,21,1,21,Balanced,50531,41344
20,2022,1,Q1,Hilux,TRD,Pickup,98682,0,98682,68,2,34,Balanced,54275,44406
21,2022,1,Q1,Fortuner,GX,SUV,135112,0,135112,54,3,18,Balanced,74311,60800
22,2022,1,Q1,Fortuner,VX,SUV,145921,5,138624,47,2,23,Balanced,80256,65664
23,2022,1,Q1,Fortuner,TRD Sportivo,SUV,156730,5,148893,57,2,28,Balanced,86201,70528
24,2022,1,Q1,Yaris,Y,Hatchback,58048,10,52243,60,1,60,Full,31926,26121
25,2022,1,Q1,Yaris,Y+,Hatchback,62692,5,59557,49,1,49,Full,34480,28211
26,2022,1,Q1,Yaris,GL,Hatchback,67336,0,67336,93,2,46,Full,37034,30301
27,2022,1,Q1,Avalon,XLE,Sedan,145120,5,137864,40,1,40,Balanced,79816,65304
28,2022,1,Q1,Avalon,Limited,Sedan,156730,5,148893,56,2,28,Balanced,86201,70528
29,2022,1,Q1,Avalon,Touring,Sedan,168340,5,159923,60,1,60,Full,92587,75753
30,2022,1,Q1,C-HR,LE,SUV,92076,5,87472,47,1,47,Full,50641,41434
31,2022,1,Q1,C-HR,XLE,SUV,99442,15,84525,6,1,6,Low,54693,44748
32,2022,1,Q1,Supra,2.0,Sports,280233,15,238198,70,3,23,Balanced,154128,126104
33,2022,1,Q1,Supra,3.0,Sports,302652,10,272386,73,1,73,Full,166458,136193
34,2022,1,Q1,Supra,A91 Edition,Sports,325070,15,276309,50,1,50,Full,178788,146281
35,2022,2,Q1,Camry,LE,Sedan,102170,10,91953,50,1,50,Full,56193,45976
36,2022,2,Q1,Camry,SE,Sedan,110343,5,104825,44,1,44,Balanced,60688,49654
37,2022,2,Q1,Camry,XLE,Sedan,118517,0,118517,58,1,58,Full,65184,53332
38,2022,2,Q1,Camry,Hybrid LE,Sedan,126690,0,126690,51,1,51,Full,69679,57010
39,2022,2,Q1,Camry,Hybrid XLE,Sedan,134864,7,125423,33,1,33,Balanced,74175,60688
40,2022,2,Q1,Corolla,XLI,Sedan,78130,0,78130,48,3,16,Balanced,42971,35158
41,2022,2,Q1,Corolla,GLI,Sedan,84380,5,80161,73,2,36,Balanced,46409,37971
42,2022,2,Q1,Corolla,SE,Sedan,90630,0,90630,75,3,25,Balanced,49846,40783
43,2022,2,Q1,Corolla,Hybrid,Sedan,96881,0,96881,85,2,42,Balanced,53284,43596
44,2022,2,Q1,Land Cruiser,GX,SUV,230383,0,230383,49,3,16,Balanced,126710,103672
45,2022,2,Q1,Land Cruiser,VX,SUV,248814,3,241349,59,3,19,Balanced,136847,111966
46,2022,2,Q1,Land Cruiser,VXR,SUV,267244,10,240519,94,2,47,Full,146984,120259
