Review_ID,Transaction_ID,Sale_Date,Year,Month,Branch_ID,City,Model,Variant,Overall_Rating,Car_Quality_Rating,Customer_Service_Rating,Price_Rating,Maintenance_Rating,Purchase_Experience_Rating,Reliability_Rating,Review_Text,Would_Recommend,Returned,Refund_Amount
1,45673,9/6/2025,2025,9,1,Riyadh,Yaris,GL,5,4,4,5,5,4,5,Amazing quality,Yes,No,0
2,19784,10/2/2023,2023,10,33,Tabuk,Camry,SE,5,5,5,5,4,5,5,Highly recommended,Yes,No,0
3,14238,4/2/2023,2023,4,19,Dammam,Corolla,XLI,5,4,4,3,5,5,5,Highly recommended,Yes,No,0
4,29868,7/26/2024,2024,7,24,Madinah,Fortuner,GX,5,4,5,3,5,5,5,Best purchase ever,Yes,No,0
5,26272,4/27/2024,2024,4,5,Riyadh,Camry,Hybrid LE,4,3,3,4,4,3,3,Good experience,Yes,No,0
6,30303,8/11/2024,2024,8,25,Madinah,Camry,SE,5,4,3,4,5,5,5,Highly recommended,Yes,No,0
7,9392,11/16/2022,2022,11,29,Khobar,RAV4,Hybrid,5,5,4,4,4,4,5,Excellent car!,Yes,No,0
8,14841,5/16/2023,2023,5,19,Dammam,Corolla,Hybrid,5,5,5,5,5,4,4,Best purchase ever,Yes,No,0
9,19106,9/26/2023,2023,9,1,Riyadh,Camry,SE,5,5,4,4,4,5,5,Excellent car!,Yes,No,0
10,22757,1/15/2024,2024,1,34,Hail,Fortuner,VX,5,4,4,4,5,4,5,Highly recommended,Yes,No,0
11,16381,6/24/2023,2023,6,37,Jazan,RAV4,XLE,5,5,4,5,5,2,3,Excellent car!,Yes,No,0
12,49466,11/1/2025,2025,11,11,Jeddah,Corolla,GLI,5,4,3,4,5,4,4,Excellent car!,Yes,No,0
13,25506,3/9/2024,2024,3,22,Makkah,Fortuner,GX,3,2,3,3,3,3,3,Needs improvement,Maybe,No,0
14,28404,6/21/2024,2024,6,35,Hail,Yaris,GL,4,4,4,5,5,4,4,Reliable car,Yes,No,0
15,2523,3/19/2022,2022,3,33,Tabuk,Land Cruiser,GR Sport,4,3,4,3,3,4,4,Reliable car,Yes,No,0
16,2361,3/13/2022,2022,3,5,Riyadh,Corolla,XLI,5,3,5,5,4,4,4,Excellent car!,Yes,No,0
17,33796,11/24/2024,2024,11,16,Dammam,RAV4,Adventure,3,3,1,2,3,2,2,Okay,Maybe,No,0
18,22545,1/27/2024,2024,1,16,Dammam,Corolla,XLI,5,5,5,5,5,5,5,Highly recommended,Yes,No,0
19,31962,9/3/2024,2024,9,20,Makkah,RAV4,Hybrid,5,4,5,4,4,4,5,Excellent car!,Yes,No,0
20,39441,3/1/2025,2025,3,10,Jeddah,Hilux,SR5,5,5,5,4,5,5,4,Great service,Yes,No,0
21,14500,4/1/2023,2023,4,12,Jeddah,RAV4,Adventure,5,4,4,4,4,5,5,Highly recommended,Yes,No,0
22,42792,6/5/2025,2025,6,1,Riyadh,Camry,XLE,2,1,1,1,1,1,3,Not satisfied,No,No,0
23,11000,1/20/2023,2023,1,33,Tabuk,Corolla,Hybrid,4,4,3,3,3,5,4,Satisfied,Yes,No,0
24,31000,8/4/2024,2024,8,17,Dammam,Hilux,SR5,5,5,4,5,5,5,3,Excellent car!,Yes,No,0
25,4414,5/12/2022,2022,5,17,Dammam,Camry,XLE,5,4,5,5,5,5,5,Amazing quality,Yes,No,0
26,25459,3/28/2024,2024,3,10,Jeddah,RAV4,XLE,4,3,2,4,3,3,2,Satisfied,Yes,No,0
27,7512,9/17/2022,2022,9,40,Arar,Avalon,Touring,5,4,5,4,3,5,5,Excellent car!,Yes,No,0
28,34554,11/2/2024,2024,11,5,Riyadh,Camry,Hybrid LE,5,4,5,5,4,4,5,Great service,Yes,No,0
29,32000,9/3/2024,2024,9,22,Makkah,Land Cruiser,GR Sport,5,4,4,3,4,5,4,Amazing quality,Yes,No,0
